dir_costs,lost_trips_costs_s_r,traffic_costs_s_r,flood_sum_r1,flood_sum_r2_1,flood_sum_r2_2,flood_sum_r3,HW_inund_uncertainty,bridge_scour_uncertainty,travel_demand_uncertainty,restoration_capacity_uncertainty
27635901.8341833,129640555.946633,68527016.1651451,8232.67007409013,32324.1987628653,22104.4887371738,19347.7489202926,0.782635468380925,0.95590489653068,1.60179772865987,2
39742984.4546355,98812731.178204,55581120.8232203,8370.54728999827,33809.7529251307,28660.0259239965,12709.2595922208,1.24602394078348,0.950495733606136,1.72569066310383,5
46690832.281849,48077088.7640659,-24135299.2733587,8768.97260305006,34595.4748188296,28928.4145763986,14173.9402589068,1.13380943628283,1.22374160952581,0.558925162062902,7
42602841.9979943,69982314.8417633,-22936156.018286,8334.09355976991,35063.6950111127,29259.1430415512,15792.5847663614,0.918619791302986,1.47108626482183,0.712576038813847,3
45468727.9128664,46752595.7786708,-5159558.80587298,8264.02240382461,35265.3242673805,32207.7147803324,12148.3121940811,0.396328051294447,1.54247586066074,0.87416928232964,6
32402740.671786,37517799.5424172,-7884303.94678108,8321.29932393198,31550.8630670588,25665.6011029033,12170.6381757216,0.405557919701171,1.13328936151742,0.804430255042869,6
24763904.5930149,66913295.8409251,19751770.3823603,8681.14498643856,31668.493918815,20492.5752500118,14685.9590708798,0.802179786474494,1.28490605651636,1.34412683171633,3
25248045.9982808,118637959.911108,45924541.1829068,7876.6054913397,31170.4439808519,20008.4984310259,19330.948872533,0.434751923476999,1.20011550163797,1.52959171265058,2
26325108.0923085,105313436.108438,-42113470.4564637,8428.71430416987,31464.7691866035,21934.2046725163,17058.6323529764,0.649591374497376,0.867149144782275,0.769421087514617,1
64432293.7599825,70064131.9759633,-44636157.1289713,8663.86795296893,34981.9765926738,38160.1535034331,15112.2627895359,0.373633205472103,0.669885072190218,0.459813675280788,5
23990465.5099298,75029892.1656434,22879276.1498788,8358.88866172219,31275.5661596352,21308.804753525,12131.5368130518,1.72849745430662,1.45994222282463,1.27028365531816,2
32337955.8705036,44746696.4703188,-4087356.4873083,8297.43747126381,32213.1327450758,22180.5965111381,19413.0624340071,1.13002508527864,0.731993043218026,0.891060395727755,9
40777395.3432436,66205856.5155422,836122.163739109,8405.9070591284,35825.3955261648,27517.22143188,14769.5138488216,1.63425479717489,1.64776962172452,1.04244716191788,5
66524746.2069484,122151433.416351,57227963.8683272,8177.02174996492,43023.9471649409,37838.9134613736,18448.4045156089,0.631519598476536,0.742024974622965,1.61217540182605,7
45877102.5074776,57091080.4726153,-11966437.3077725,8471.25736167619,36818.7613619518,31964.9124651537,13968.8211188628,1.61858087900591,1.68919115931869,0.793725429215877,4
46464127.5688738,40136551.4614063,-11638799.2084854,8155.89902946446,35466.3537954392,32386.5945915946,14058.3350564679,0.31708125780892,1.2391029724056,0.7015477002335,7
56503660.4221977,172768610.008836,57830507.2567078,8933.51423303876,39198.4711763603,40071.6670673706,13909.0038500928,1.64958773375853,1.61109894723632,1.27389408614807,2
54630523.2264679,139718872.148267,49689989.313905,8055.62078014482,40539.3001189781,32937.7702588043,13073.4895179439,1.21600929824257,0.362054353738501,1.29258965410068,3
53217900.5890975,115732044.747695,30396199.3759536,7838.84871511394,36794.7463143115,37106.2403225763,16275.4322077375,1.03376670607088,0.449100583682039,1.27103455462531,4
